Category,Value,Question,Answer,class
GAMES,$400,"Popular parlor game also known as ""Animal, Vegetable, or Mineral?""",20 questions,Sports
U.S. PRESIDENTS,$300,"From 1890 to 1902, he served as professor of jurisprudence & political economy at Princeton",Woodrow Wilson,Non-Fiction
POTENT POTABLES,$400,A 7&7 mixes 7Up & this,Seagram's 7,Non-Fiction
"""STICK"" WITH IT",$200,It is easier to eat with these wooden utensils after you split them apart,Chopsticks,Non-Fiction
I WANNA BE...,$2000,...this kind of 12-letter person & make some big bucks correcting crooked teeth with braces,an orthodontist,Non-Fiction
MAGAZINES,$1000,Flashy journal of cyberspace that shares its name with a biography of John Belushi,Wired,Non-Fiction
VICE-PRESIDENTS,$1000,Harry Truman was exceptionally pleased with the performance of this vice president,Alben Barkley,Non-Fiction
EARTH SCIENCE,"$1,000","Today, it lies near Ellef Ringnes Island in northern Canada",North Magnetic Pole,Science/Geography
FRENCH NAMES OF COUNTRIES,$200,Arabie Saoudite,Saudi Arabia,Non-Fiction
HOME BOYS,$600,Gophers,Minnesota,Sports
A BRIEF HISTORY OF RHYME,$400,"""Fiddling"" Roman emperor's admired people",Nero's heroes,Non-Fiction
A GORILLA'S BEST FRIEND,$800,"Discovered in 1966, Snowflake was the first known specimen of this type of gorilla",White/albino gorilla,Science/Geography
DIRTY ROTTEN SCOUNDRELS,$200,"This woman with a reputation as a hard-drinking, foul-mouthed ruffian claims she married Wild Bill Hickok",Calamity Jane,Non-Fiction
YOU'RE ALL WET,$1000,The name of this ocean is derived from the name of a titan in Greek myth who was a brother of Prometheus,the Atlantic,Non-Fiction
COMMENCEMENT SPEECHES,$1600,"Speaking at the Boston College Law School, this Fed head praised J.K. Rowling & quoted John Lennon",Bernanke,Non-Fiction
SCIENCE BRIEFS,$800,In 1909 Soren Sorensen came up with this scale to measure acidity,pH scale,Science/Geography
THE HOME SPA,$200,Cleopatra is said to have used rejuvenating products from this saline body of water in which the Jordan ends,the Dead Sea,Non-Fiction
"WHAT'S ""UP"" DOC",$100,Direction you want to be when meeting a skunk,upwind,Non-Fiction
"""C"" DUTY",$800,You auto know this small Michigan city that rests on the lake of the same name,Cadillac,Science/Geography
'50'S TV,$200,"Occupation of Richard Diamond, Peter Gunn & Mike Hammer",private eyes (or private detectives),Fiction
SHORTS,$600,"This female star of ""Hope Floats"" wrote & directed the short ""Making Sandwiches""",Sandra Bullock,Non-Fiction
HISTORIC AMERICANS,$1000,"As chief justice from 1864 to 1873, he presided at the impeachment trial of Andrew Johnson",Salmon P. Chase,Non-Fiction
PO BOYS,$1200,"After featuring his bare chest & flowing locks on the covers of romance novels, this Milan man wrote a few too",Fabio,Non-Fiction
18 YEARS OF LEFTOVERS,$400,"From Season 14: 21-year-old Frances Folsom married 49-year-old Grover Cleveland in this ""colorful"" room",the Blue Room,Non-Fiction
SPORTS NICKNAMES,$200,Broadway Joe,Joe Namath,Sports
COLLEGE MOVIES,$400,"Disillusioned with their lives, Luke Wilson & Will Ferrell start their own frat in this film",Old School,Fiction
"FAIRBURY, NEBRASKA",$400,"Fairbury is the seat of this county named for the U.S. president known as the ""Sage of Monticello""",(Thomas) Jefferson,Science/Geography
IT TAKES A THIEF,$200,What a thief called a “dip” dips into,pocket,Non-Fiction
COLLEGES & UNIVERSITIES,$2000,Martha Stewart & Anna Quindlen are graduates of this women's college that's affiliated with Columbia,Barnard,Non-Fiction
POETS & POETRY,$600,"""Seldom does a first book contain so few unsuccessful things"", said Amy Lowell of his ""Chicago Poems""",Sandburg,Non-Fiction
THE PLAGUE,$200,Plague is generally spread from rodents to humans by these insects,fleas,Science/Geography
CARE TO SEE MY ETCHINGS?,$600,"One of his most famous etchings is ""Christ Healing the Sick"", aka ""The 100-Guilder Print"", completed in the 1640s",Rembrandt,Non-Fiction
IT'S IN YOUR MIND,$1000,I love Dr. Freud for using this term for strong feelings of attachment by a patient toward an analyst,transference,Science/Geography
VERB FIRST NAMES,$200,To open or pierce with the surgical instrument of the same name,Lance,Non-Fiction
THAT TITLE IS TAKEN,$2000,This Cormac McCarthy title comes from a Yeats poem about a senior citizen's hope to transmute himself into art,No Country for Old Men,Fiction
POETRY IN MOTION,$1600,"""'Forward the light brigade!' Was there a man dismay'd?  Not tho' the soldier knew some one had blunder'd""",Tennyson,Fiction
WORLD FACTS,$600,"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan,Science/Geography
