Show Number, Air Date, Round, Category, Value, Question, Answer
3277,1998-12-01,Double Jeopardy!,"STARTS & ENDS WITH ""A""",$200,"In this province, Medicine Hat, as well as Calgary, hold annual stampedes",Alberta
3028,1997-10-29,Double Jeopardy!,"""HY"" THERE",$600,The handsome young Greek god of marriage,Hymen
2952,1997-06-03,Double Jeopardy!,MAGAZINES,$1000,Flashy journal of cyberspace that shares its name with a biography of John Belushi,Wired
4577,2004-06-29,Jeopardy!,MR. POTATO HEAD,$200,"Mr. Potato Head's ""Picnic Pals"" of the '60s included Mr. Ketchup Head & this other condiment character",Mr. Mustard Head
6141,2011-05-02,Double Jeopardy!,"CROSSWORD CLUES ""B""",$1600,To invite or summon (6),beckon
1890,1992-11-20,Jeopardy!,THE OLD WEST,$300,"In Old West slang, someone in ""these"" with another was in partnership with him",cahoots
1322,1990-05-08,Jeopardy!,THE 3 R's,$300,The Romans gave us this letter by adding a small stroke to the letter C,G
3583,2000-03-15,Double Jeopardy!,EARTH SCIENCE,"$1,000","Today, it lies near Ellef Ringnes Island in northern Canada",North Magnetic Pole
3004,1997-09-25,Jeopardy!,OOPS!,$500,"American Family Publishers' letter to a Florida church said this addressee was in the running for $11,000,000",God
6010,2010-10-29,Jeopardy!,"""BON"" APPETIT",$1000,"<a href=""http://www.j-archive.com/media/2010-10-29_J_15.jpg"" target=""_blank"">This</a> distinctive predator is seen <a href=""http://www.j-archive.com/media/2010-10-29_J_15a.jpg"" target=""_blank"">here</a>.",bonnethead shark
4145,2002-09-13,Double Jeopardy!,"""J"" WALKING",$2000,Christian monk & translator Eusebius Hieronymus is better known as this saint,Saint Jerome
4463,2004-01-21,Double Jeopardy!,"""SAN""",$1600,"From the Latin for ""holy"", it means feigning great righteousness & piety",sanctimonious
3844,2001-04-26,Jeopardy!,"THE ""WEST"" WING",$100,In 1863 it was admitted to the Union as the 35th state,West Virginia
2967,1997-06-24,Double Jeopardy!,SONGS,$1000,The title of this wistful Beach Boys song is also the title of Brian Wilson's autobiography,"""Wouldn't It Be Nice?"""
3199,1998-06-25,Double Jeopardy!,"THE SOUND OF ""MUSIC""",$200,"10 kids, 9 seats, 1 piano & you're ready to play this",Musical chairs
3195,1998-06-19,Jeopardy!,POTENT POTABLES,$400,A 7&7 mixes 7Up & this,Seagram's 7
6197,2011-07-19,Jeopardy!,"""A"" BEFORE ""E""",$600,"For its 75th anniversary, it is offering flights between Dublin & Boston for as low as 199 euros",Aer Lingus
4319,2003-05-15,Jeopardy!,TRUE & FALSE,$400,The true morel variety of these is okay to eat; the false morels are poisonous,mushrooms
6294,2012-01-19,Jeopardy!,"A SHAKESPEARE PLAY, FOR OPENERS",$200,"This play opens on the battlements of the castle at Elsinore as Barnardo asks, ""who's there?""",Hamlet
367,1986-02-04,Jeopardy!,"WHAT'S ""UP"" DOC",$100,Direction you want to be when meeting a skunk,upwind
6043,2010-12-15,Double Jeopardy!,LET'S GET SMALL,$800,"Preparing objects for a microscope may include sectioning & this, the dyeing of the object for study",staining
6170,2011-06-10,Double Jeopardy!,THE HERO WITH...,$800,The Golden Apples of the Hesperides,Hercules
5610,2009-01-16,Double Jeopardy!,POETRY IN MOTION,$1600,"""'Forward the light brigade!' Was there a man dismay'd?  Not tho' the soldier knew some one had blunder'd""",Tennyson
3829,2001-04-05,Double Jeopardy!,DAISY CRAZY,$400,It's used as the printing element in certain electric typewriters & older computer printers,a daisy wheel
5950,2010-06-25,Double Jeopardy!,SUPER,$2000,"A scene at the end of ""Iron Man"" finds Samuel L. Jackson as this one-eyed S.H.I.E.L.D. director",Nick Fury
4885,2005-12-02,Jeopardy!,COUNTRIES BY CAPITAL,$200,South of the border: Santiago,Chile
5517,2008-09-09,Jeopardy!,U.S. COINS,$800,"It should be easy to ""home"" in on this longest of the 10 words on the back of a current nickel",Monticello
4456,2004-01-12,Double Jeopardy!,THE HEAVENS,$2000,In 1664 Robert Hooke discovered this still largely mysterious feature of Jupiter,the Great Red Spot
3077,1998-01-06,Double Jeopardy!,TOUGH TV,$400,"Her 3 regular roles on TV have been Zena Sherman, Carla Tortelli & Pearl Caraldo",Rhea Perlman
3645,2000-06-09,Jeopardy!,RELIGIOUS LEADERS,$100,The Rev. Heber Jentzch heads this L. Ron Hubbard religion,Scientology
5182,2007-03-06,Double Jeopardy!,AT THE MOVIES,$2000,"This director of 1931's ""Frankenstein"" was the subject of the film ""Gods and Monsters""",James Whale
4842,2005-10-04,Double Jeopardy!,TAKE-OFFS,$800,"""Molvania: A Land Untouched by Modern Dentistry"" is a satirical type of this guide",a travel guide
6224,2011-10-13,Jeopardy!,IT'S IN YOUR MIND,$1000,I love Dr. Freud for using this term for strong feelings of attachment by a patient toward an analyst,transference
3150,1998-04-17,Jeopardy!,SKIN DEEP,$300,The little sections of dead epidermis around your fingernails,Cuticles
4310,2003-05-02,Double Jeopardy!,TIME'S MAN OF THE YEAR,$400,Pope John XXIII was Man of the Year for 1962; this pope was Man of the Year for 1994,Pope John Paul II
6172,2011-06-14,Double Jeopardy!,STEPHEN KING NOVEL PLOTS,$400,Young Charlie McGee inherits pyrokinetic powers from her parents & the feds want to recapture all of them,Firestarter
3949,2001-11-01,Double Jeopardy!,DOGS OF WAR,$1000,The dog Soter warned the citizens of an attack in this ancient Greek port city founded by Dorians,Corinth
4809,2005-06-30,Jeopardy!,MUSICMAKERS,$1000,"In 1972 he ""and Mrs. Jones"" had a ""thing going on""",Billy Paul
5008,2006-05-24,Final Jeopardy!,PORT CITIES,None,It was Russia's third-largest city until it became the capital of an independent republic in 1918,"Riga, Latvia"
3293,1998-12-23,Double Jeopardy!,"CROSSWORD CLUES ""F""",$400,Morris the Cat's adjective              (7),Finicky
2970,1997-06-27,Jeopardy!,TRANSPORTATION,$300,"One of America's busiest airports, its 3-letter designation is ORD",O'Hare Airport (Chicago)
5709,2009-06-04,Jeopardy!,"IT'S A ""SNAP""",$1000,These aggressive freshwater reptiles can reach 30 inches across & 200 pounds,snapping turtle
5364,2007-12-27,Double Jeopardy!,CONGRESSIONAL BEFORE & AFTER,$800,The North Carolina senator grown in Hawaii by one company since 1851,Elizabeth Dole Pineapple
6233,2011-10-26,Jeopardy!,A LITTLE LEGALESE,"$4,000","Leading questions may be used when dealing with an adverse witness, also called this type of witness",hostile
4815,2005-07-08,Double Jeopardy!,CAPITAL IDEAS,$800,The U.K. helped fund the design of this capital after Belize City was destroyed by a hurricane,Belmopan
4170,2002-10-18,Jeopardy!,BITS & PIECES,$600,"Seeing these new guests at the National Zoo, Clinton said he could be like them: sleep 20 hrs. a day & eat 4 hrs.",giant pandas
5675,2009-04-17,Double Jeopardy!,FAMOUS PAIRS,$1200,The Bad Boys of Magic: Penn &  ______,Teller
3952,2001-11-06,Double Jeopardy!,GEORGIE,$200,"Born in New Haven, Connecticut in 1946, he grew up to be president of the United States",George W. Bush
3655,2000-06-23,Jeopardy!,THAT'S HISTORY,$400,"When the Tuscaroras joined, the Iroquois League updated its name to this",League of Six Nations
5817,2009-12-22,Jeopardy!,FOR PETE'S SAKE,$500,"World Book says it, flat out: this man ""was the greatest Flemish painter of the 1600s""",(Peter Paul) Rubens
5065,2006-09-22,Jeopardy!,___ OF ___,$200,Edith Wharton won a Pulitzer Prize for this novel,The Age of Innocence
5017,2006-06-06,Jeopardy!,CITY OF THE DAY: RALEIGH,$200,"Because of its fine museums, Raleigh has been dubbed this D.C. institution ""of the South""",the Smithsonian
4859,2005-10-27,Jeopardy!,GETTING MALL-ED,$400,In 1986 ThisCompanyKids opened its first store; in 1990 BabyThisCompany was born,The Gap
2341,1994-11-07,Jeopardy!,THE ELEMENTS,$100,"This metal, Al, used in beverage cans & food wrap was once considered a precious metals",aluminum
3265,1998-11-13,Jeopardy!,WEIGHTS & MEASURES,$400,"Hold your breath!  If you traveled 20,000 leagues under the sea, you'd go 60,000 of these",miles
3646,2000-06-12,Double Jeopardy!,WOOD,$600,"This tree's name has passed into the names of honors, like a poet's post or a degree",Laurel
4624,2004-10-14,Double Jeopardy!,"NOTHING ""BUT""",$1200,He was Secretary of Agriculture under Nixon & Ford,Earl Butz
4986,2006-04-24,Double Jeopardy!,"A CATEGORY WITH ""FIN""s",$800,"It's the ""F"" in a corporation's CFO",financial
3541,2000-01-17,Jeopardy!,GRAVE MATTERS,$400,In 1840 his body was moved from St. Helena to Paris & entombed in the Church of the Dome,Napoleon
3169,1998-05-14,Jeopardy!,TRANSLATION,$200,"English readers & Disney viewers know Hugo's ""Notre-Dame de Paris"" by this title","""The Hunchback of Notre Dame"""
1799,1992-05-28,Jeopardy!,GREAT THINGS,$200,The Great Smokies are part of this larger system,the Appalachians
5309,2007-10-11,Jeopardy!,AMERICAN HISTORY,$200,"After General Cornwallis Surrendered at Yorktown, this American traitor accompanied him back to England",Benedict Arnold
3726,2000-11-13,Jeopardy!,THE REEL WORLD,$300,"The L.A. Times said this 2000 Nick Park animated film was ""Poultry in Motion""",Chicken Run
3282,1998-12-08,Double Jeopardy!,AUTHOR! AUTHOR!,$1000,"""Looking Backward""",Edward Bellamy
5713,2009-06-10,Double Jeopardy!,MILK,$2000,Milk is forced through small openings at high pressure to evenly distribute the cream in this process,homogenization
307,1985-11-12,Double Jeopardy!,IT TAKES A THIEF,$200,What a thief called a “dip” dips into,pocket
2351,1994-11-21,Double Jeopardy!,THE AMERICAN FLAG,$600,"According to the Pledge of Allegiance, the American flag stands for this type of government",Republic
